TransactionID,BranchID,City,Date,Amount,Status
MU040000,MU-4,Mumbai,2024-01-01,563,Success
MU040001,MU-4,Mumbai,2024-01-02,1315,Failed
MU040002,MU-4,Mumbai,2024-01-03,8328,Success
MU040003,MU-4,Mumbai,2024-01-04,1191,Success
MU040004,MU-4,Mumbai,2024-01-05,2988,Success
MU040005,MU-4,Mumbai,2024-01-06,3973,Failed
MU040006,MU-4,Mumbai,2024-01-07,2967,Failed
MU040007,MU-4,Mumbai,2024-01-08,879,Success
MU040008,MU-4,Mumbai,2024-01-09,2076,Success
MU040009,MU-4,Mumbai,2024-01-10,389,Failed
MU040010,MU-4,Mumbai,2024-01-11,9319,Failed
MU040011,MU-4,Mumbai,2024-01-12,207,Success
MU040012,MU-4,Mumbai,2024-01-13,7075,Success
MU040013,MU-4,Mumbai,2024-01-14,7021,Success
MU040014,MU-4,Mumbai,2024-01-15,417,Success
MU040015,MU-4,Mumbai,2024-01-16,7773,Success
MU040016,MU-4,Mumbai,2024-01-17,1983,Failed
MU040017,MU-4,Mumbai,2024-01-18,7052,Success
MU040018,MU-4,Mumbai,2024-01-19,7392,Failed
MU040019,MU-4,Mumbai,2024-01-20,3456,Success
MU040020,MU-4,Mumbai,2024-01-21,513,Success
MU040021,MU-4,Mumbai,2024-01-22,6264,Success
MU040022,MU-4,Mumbai,2024-01-23,7429,Success
MU040023,MU-4,Mumbai,2024-01-24,717,Success
MU040024,MU-4,Mumbai,2024-01-25,1205,Success
MU040025,MU-4,Mumbai,2024-01-26,6452,Failed
MU040026,MU-4,Mumbai,2024-01-27,7072,Success
MU040027,MU-4,Mumbai,2024-01-28,1009,Success
MU040028,MU-4,Mumbai,2024-01-29,6733,Success
MU040029,MU-4,Mumbai,2024-01-30,7113,Failed
MU040030,MU-4,Mumbai,2024-01-31,2648,Success
MU040031,MU-4,Mumbai,2024-02-01,9174,Failed
MU040032,MU-4,Mumbai,2024-02-02,8348,Success
MU040033,MU-4,Mumbai,2024-02-03,9177,Success
MU040034,MU-4,Mumbai,2024-02-04,7185,Failed
MU040035,MU-4,Mumbai,2024-02-05,2309,Failed
MU040036,MU-4,Mumbai,2024-02-06,976,Failed
MU040037,MU-4,Mumbai,2024-02-07,2378,Failed
MU040038,MU-4,Mumbai,2024-02-08,8217,Failed
MU040039,MU-4,Mumbai,2024-02-09,6397,Success
MU040040,MU-4,Mumbai,2024-02-10,3131,Success
MU040041,MU-4,Mumbai,2024-02-11,6063,Failed
MU040042,MU-4,Mumbai,2024-02-12,6152,Failed
MU040043,MU-4,Mumbai,2024-02-13,6992,Failed
MU040044,MU-4,Mumbai,2024-02-14,2978,Failed
MU040045,MU-4,Mumbai,2024-02-15,7063,Success
MU040046,MU-4,Mumbai,2024-02-16,9083,Failed
MU040047,MU-4,Mumbai,2024-02-17,2135,Failed
MU040048,MU-4,Mumbai,2024-02-18,1109,Failed
MU040049,MU-4,Mumbai,2024-02-19,6218,Success
MU040050,MU-4,Mumbai,2024-02-20,3529,Failed
MU040051,MU-4,Mumbai,2024-02-21,9223,Success
MU040052,MU-4,Mumbai,2024-02-22,8419,Failed
MU040053,MU-4,Mumbai,2024-02-23,4748,Success
MU040054,MU-4,Mumbai,2024-02-24,5233,Success
MU040055,MU-4,Mumbai,2024-02-25,4269,Failed
MU040056,MU-4,Mumbai,2024-02-26,3054,Success
MU040057,MU-4,Mumbai,2024-02-27,9885,Success
MU040058,MU-4,Mumbai,2024-02-28,1076,Failed
MU040059,MU-4,Mumbai,2024-02-29,5369,Failed
MU040060,MU-4,Mumbai,2024-03-01,6499,Failed
MU040061,MU-4,Mumbai,2024-03-02,2039,Failed
MU040062,MU-4,Mumbai,2024-03-03,8876,Success
MU040063,MU-4,Mumbai,2024-03-04,1381,Failed
MU040064,MU-4,Mumbai,2024-03-05,4605,Failed
MU040065,MU-4,Mumbai,2024-03-06,129,Success
MU040066,MU-4,Mumbai,2024-03-07,3356,Failed
MU040067,MU-4,Mumbai,2024-03-08,9120,Failed
MU040068,MU-4,Mumbai,2024-03-09,4179,Success
MU040069,MU-4,Mumbai,2024-03-10,6596,Success
MU040070,MU-4,Mumbai,2024-03-11,5391,Success
MU040071,MU-4,Mumbai,2024-03-12,8105,Success
MU040072,MU-4,Mumbai,2024-03-13,250,Success
MU040073,MU-4,Mumbai,2024-03-14,3770,Success
MU040074,MU-4,Mumbai,2024-03-15,2470,Success
MU040075,MU-4,Mumbai,2024-03-16,8300,Failed
MU040076,MU-4,Mumbai,2024-03-17,919,Failed
MU040077,MU-4,Mumbai,2024-03-18,5054,Failed
MU040078,MU-4,Mumbai,2024-03-19,2687,Failed
MU040079,MU-4,Mumbai,2024-03-20,8910,Success
MU040080,MU-4,Mumbai,2024-03-21,3412,Failed
MU040081,MU-4,Mumbai,2024-03-22,230,Failed
MU040082,MU-4,Mumbai,2024-03-23,9885,Failed
MU040083,MU-4,Mumbai,2024-03-24,7588,Failed
MU040084,MU-4,Mumbai,2024-03-25,9487,Failed
MU040085,MU-4,Mumbai,2024-03-26,4607,Failed
MU040086,MU-4,Mumbai,2024-03-27,9379,Failed
MU040087,MU-4,Mumbai,2024-03-28,600,Failed
MU040088,MU-4,Mumbai,2024-03-29,5555,Failed
MU040089,MU-4,Mumbai,2024-03-30,2409,Failed
MU040090,MU-4,Mumbai,2024-03-31,6828,Failed
MU040091,MU-4,Mumbai,2024-04-01,4675,Success
MU040092,MU-4,Mumbai,2024-04-02,9092,Failed
MU040093,MU-4,Mumbai,2024-04-03,4490,Failed
MU040094,MU-4,Mumbai,2024-04-04,6518,Failed
MU040095,MU-4,Mumbai,2024-04-05,1364,Failed
MU040096,MU-4,Mumbai,2024-04-06,589,Success
MU040097,MU-4,Mumbai,2024-04-07,8861,Success
MU040098,MU-4,Mumbai,2024-04-08,6567,Success
MU040099,MU-4,Mumbai,2024-04-09,3499,Failed
MU040100,MU-4,Mumbai,2024-04-10,1859,Failed
MU040101,MU-4,Mumbai,2024-04-11,1322,Success
MU040102,MU-4,Mumbai,2024-04-12,8107,Failed
MU040103,MU-4,Mumbai,2024-04-13,8123,Success
MU040104,MU-4,Mumbai,2024-04-14,7044,Success
MU040105,MU-4,Mumbai,2024-04-15,6899,Failed
MU040106,MU-4,Mumbai,2024-04-16,3064,Success
MU040107,MU-4,Mumbai,2024-04-17,1770,Failed
